ID_Venda;Data_Venda;Loja;Produto;Categoria;Quantidade;Preco_Unitario;Vendedor;Forma_Pagamento;Custo_Unitario
1057;01/07/2025;Loja Recife;Saia Midi;Vestuário Feminino;3;404098;Dra. Isadora das Neves;Boleto;339384
1058;01/07/2025;Loja Salvador;Cafeteira 15x;Casa e Eletro;1;205776;Anthony Nogueira;Cartão de Débito;165359
1059;01/07/2025;Loja Porto Alegre;Vestido Floral;Vestuário Feminino;2;288747;Anthony Nogueira;Dinheiro;24607
1060;01/07/2025;Loja Salvador;Sapato Social;Vestuário Masculino;4;406438;Bryan da Luz;Cartão de Crédito;305812
1061;01/07/2025;Loja Salvador;Saia Midi;Vestuário Feminino;5;372059;Bryan da Luz;Boleto;320055
1062;01/07/2025;Loja Recife;Blusa Básica;Vestuário Feminino;3;90668;André Costela;Cartão de Crédito;52238
1063;01/07/2025;Loja Fortaleza;Saia Midi;Vestuário Feminino;1;329661;André Costela;PIX;182301
1064;01/07/2025;Loja Salvador;Sapato Social;Vestuário Masculino;2;108791;Anthony Nogueira;Dinheiro;6865
1065;01/07/2025;Loja Recife;Ar Condicionado;Casa e Eletro;2;451478;Yago Cardoso;Cartão de Crédito;339478
1066;01/07/2025;Loja Recife;Notebook Intel i5;Eletrônicos;5;457426;Vitória Gonçalves;Cartão de Débito;374397
1067;01/07/2025;Loja Recife;Notebook Intel i7;Eletrônicos;3;54808;Dra. Isadora das Neves;Dinheiro;49018
1068;01/07/2025;Loja Fortaleza;Notebook Intel i7;Eletrônicos;2;17471;Dra. Isadora das Neves;Boleto;12151
1069;01/07/2025;Loja Porto Alegre;Notebook Intel i5;Eletrônicos;4;121681;Vitória Gonçalves;PIX;65248
1070;01/07/2025;Loja Salvador;Notebook Intel i7;Eletrônicos;4;255304;Anthony Nogueira;Cartão de Débito;224996
1071;01/07/2025;Loja Salvador;Ar Condicionado;Casa e Eletro;4;239116;Dra. Isadora das Neves;Dinheiro;193802
1072;01/07/2025;Loja Porto Alegre;Liquidificador;Casa e Eletro;4;243711;Vitória Gonçalves;Cartão de Débito;14178
1073;01/07/2025;Loja Fortaleza;Ar Condicionado;Casa e Eletro;4;183633;Anthony Nogueira;Boleto;137792
1074;01/07/2025;Loja Porto Alegre;Smartphone A22;Eletrônicos;5;21073;Dra. Fernanda Pereira;Dinheiro;12185
1075;01/07/2025;Loja Salvador;Vestido Floral;Vestuário Feminino;1;418914;Luiz Gustavo Cardoso;PIX;245308
1076;01/07/2025;Loja Recife;Saia Midi;Vestuário Feminino;2;45221;Vitória Gonçalves;Dinheiro;36119
1077;01/07/2025;Loja Fortaleza;Liquidificador;Casa e Eletro;4;166698;Yago Cardoso;Dinheiro;93404
1078;01/07/2025;Loja Porto Alegre;Camisa Social;Vestuário Masculino;5;416954;Sra. Ana Carolina Rodrigues;Cartão de Débito;238286
1079;01/07/2025;Loja Porto Alegre;Notebook Intel i5;Eletrônicos;5;445184;Anthony Nogueira;Cartão de Débito;236432
1080;01/07/2025;Loja Fortaleza;Blusa Básica;Vestuário Feminino;3;494083;Dra. Fernanda Pereira;Boleto;332382
1081;01/07/2025;Loja Recife;Vestido Floral;Vestuário Feminino;5;454356;Yago Cardoso;Boleto;352865
1082;01/07/2025;Loja Fortaleza;Sapato Social;Vestuário Masculino;1;326881;Vitória Gonçalves;Cartão de Débito;196257
1083;01/07/2025;Loja Recife;Blusa Básica;Vestuário Feminino;1;213303;Anthony Nogueira;Dinheiro;175184
1084;01/07/2025;Loja Recife;Tablet 10'';Eletrônicos;3;281278;André Costela;PIX;173325
1085;01/07/2025;Loja Porto Alegre;Vestido Floral;Vestuário Feminino;2;336049;Dra. Fernanda Pereira;Cartão de Crédito;295985
1086;01/07/2025;Loja Recife;Camisa Social;Vestuário Masculino;2;480804;André Costela;Dinheiro;270378
1087;01/07/2025;Loja Fortaleza;Sapato Social;Vestuário Masculino;2;49097;André Costela;Boleto;273738
1088;01/07/2025;Loja Salvador;Smartphone A22;Eletrônicos;5;442727;Yago Cardoso;Boleto;235567
1089;01/07/2025;Loja São Paulo;Geladeira Duplex;Casa e Eletro;3;170165;Dra. Fernanda Pereira;PIX;131273
1090;01/07/2025;Loja São Paulo;Notebook Intel i7;Eletrônicos;3;17310;Luiz Gustavo Cardoso;Cartão de Crédito;145362
1091;01/07/2025;Loja São Paulo;Blusa Básica;Vestuário Feminino;3;51652;Mirella Pires;Boleto;29503
1092;01/07/2025;Loja Porto Alegre;Sapato Social;Vestuário Masculino;2;466202;Bryan da Luz;Cartão de Crédito;340258
1093;01/07/2025;Loja São Paulo;Shorts Jeans;Vestuário Feminino;2;216107;Anthony Nogueira;Cartão de Débito;109019
1094;01/07/2025;Loja Porto Alegre;Saia Midi;Vestuário Feminino;4;194269;Sra. Ana Carolina Rodrigues;Cartão de Débito;169764
1095;01/07/2025;Loja Salvador;Ar Condicionado;Casa e Eletro;1;387117;André Costela;Dinheiro;338288
1096;01/07/2025;Loja Porto Alegre;Blusa Básica;Vestuário Feminino;5;301692;Anthony Nogueira;Cartão de Crédito;223611
1097;01/07/2025;Loja Fortaleza;Geladeira Duplex;Casa e Eletro;1;207404;Luiz Gustavo Cardoso;PIX;144145
1098;01/07/2025;Loja São Paulo;Ar Condicionado;Casa e Eletro;5;298905;Anthony Nogueira;Dinheiro;194657
1099;01/07/2025;Loja Fortaleza;Ar Condicionado;Casa e Eletro;5;100777;Sra. Ana Carolina Rodrigues;PIX;50586
1100;01/07/2025;Loja Recife;Saia Midi;Vestuário Feminino;1;127627;Luiz Gustavo Cardoso;Boleto;94379
1101;01/07/2025;Loja São Paulo;Geladeira Duplex;Casa e Eletro;4;412096;André Costela;Cartão de Crédito;244077
1102;01/07/2025;Loja São Paulo;Tablet 10'';Eletrônicos;4;342275;Bryan da Luz;Cartão de Débito;199315
1103;01/07/2025;Loja Fortaleza;Ar Condicionado;Casa e Eletro;5;17203;Yago Cardoso;Cartão de Crédito;152833
1104;01/07/2025;Loja Recife;Notebook Intel i7;Eletrônicos;4;452909;Dra. Isadora das Neves;Dinheiro;255497
1105;01/07/2025;Loja São Paulo;Calça Jeans;Vestuário Masculino;5;145321;Vitória Gonçalves;Dinheiro;7653
1106;01/07/2025;Loja Recife;Notebook Intel i7;Eletrônicos;5;295123;Anthony Nogueira;Boleto;192611
1107;01/07/2025;Loja Salvador;Tablet 10'';Eletrônicos;3;3793;Dra. Isadora das Neves;Dinheiro;26192
1108;01/07/2025;Loja Salvador;Blusa Básica;Vestuário Feminino;4;161702;André Costela;Dinheiro;144769
1109;01/07/2025;Loja Salvador;Camiseta Polo;Vestuário Masculino;1;308351;André Costela;Dinheiro;251107
1110;01/07/2025;Loja Porto Alegre;Notebook Intel i5;Eletrônicos;1;459346;Mirella Pires;Dinheiro;280837
1111;01/07/2025;Loja São Paulo;Smartphone A22;Eletrônicos;1;92311;André Costela;PIX;60872
1112;01/07/2025;Loja São Paulo;Notebook Intel i5;Eletrônicos;4;103273;Dra. Fernanda Pereira;Cartão de Crédito;71162
1113;01/07/2025;Loja São Paulo;Tablet 10'';Eletrônicos;1;303951;André Costela;Boleto;255056
1114;01/07/2025;Loja Salvador;Cafeteira 15x;Casa e Eletro;3;45095;Sra. Ana Carolina Rodrigues;PIX;271173
1115;01/07/2025;Loja Fortaleza;Cafeteira 15x;Casa e Eletro;1;49921;Luiz Gustavo Cardoso;Cartão de Crédito;32669
1116;01/07/2025;Loja Fortaleza;Camiseta Polo;Vestuário Masculino;3;265628;Sra. Ana Carolina Rodrigues;Dinheiro;188441
1117;01/07/2025;Loja Fortaleza;Smartphone A22;Eletrônicos;2;488051;Sra. Ana Carolina Rodrigues;Cartão de Crédito;37605
1118;01/07/2025;Loja São Paulo;Blusa Básica;Vestuário Feminino;3;481406;Dra. Fernanda Pereira;Cartão de Crédito;421682
1119;01/07/2025;Loja Recife;Smartphone A22;Eletrônicos;1;4861;Dra. Isadora das Neves;Dinheiro;35579
1120;01/07/2025;Loja Salvador;Calça Jeans;Vestuário Masculino;2;73264;Vitória Gonçalves;Boleto;56235
1121;01/07/2025;Loja São Paulo;Blusa Básica;Vestuário Feminino;3;310619;André Costela;PIX;159139
1122;01/07/2025;Loja Porto Alegre;Calça Jeans;Vestuário Masculino;3;506;Bryan da Luz;Boleto;403
1123;01/07/2025;Loja Recife;Tablet 10'';Eletrônicos;5;345886;Dra. Isadora das Neves;PIX;255852
1124;01/07/2025;Loja Recife;Notebook Intel i5;Eletrônicos;3;470683;Yago Cardoso;Cartão de Débito;313369
1125;01/07/2025;Loja Fortaleza;Smartphone A22;Eletrônicos;3;161735;Mirella Pires;Cartão de Crédito;126637
1126;01/07/2025;Loja Fortaleza;Shorts Jeans;Vestuário Feminino;1;6000;Vitória Gonçalves;Dinheiro;40997
1127;01/07/2025;Loja Salvador;Geladeira Duplex;Casa e Eletro;5;443943;Mirella Pires;Cartão de Crédito;32015
1128;01/07/2025;Loja Salvador;Calça Jeans;Vestuário Masculino;4;242299;Luiz Gustavo Cardoso;PIX;171986
1129;01/07/2025;Loja Porto Alegre;Notebook Intel i7;Eletrônicos;2;378578;Mirella Pires;Dinheiro;238818
1130;01/07/2025;Loja Salvador;Liquidificador;Casa e Eletro;1;323527;Vitória Gonçalves;Cartão de Crédito;222588
1131;01/07/2025;Loja São Paulo;Camisa Social;Vestuário Masculino;4;102396;Mirella Pires;PIX;90625
1132;01/07/2025;Loja Fortaleza;Blusa Básica;Vestuário Feminino;3;220332;Luiz Gustavo Cardoso;Dinheiro;11254
1133;01/07/2025;Loja São Paulo;Saia Midi;Vestuário Feminino;2;160283;Bryan da Luz;Dinheiro;95191
1134;01/07/2025;Loja Salvador;Calça Jeans;Vestuário Masculino;5;495954;Luiz Gustavo Cardoso;PIX;405327
1135;01/07/2025;Loja Fortaleza;Camisa Social;Vestuário Masculino;3;358479;Anthony Nogueira;Cartão de Débito;21604
1136;01/07/2025;Loja Salvador;Sapato Social;Vestuário Masculino;5;418165;Dra. Isadora das Neves;Cartão de Débito;324843
1137;01/07/2025;Loja São Paulo;Notebook Intel i7;Eletrônicos;5;364096;Vitória Gonçalves;Boleto;250445
1138;01/07/2025;Loja Porto Alegre;Saia Midi;Vestuário Feminino;5;116979;Anthony Nogueira;Cartão de Crédito;65633
1139;01/07/2025;Loja Recife;Notebook Intel i5;Eletrônicos;5;452834;Bryan da Luz;PIX;350135
1140;01/07/2025;Loja Porto Alegre;Geladeira Duplex;Casa e Eletro;1;249242;André Costela;PIX;141964
1141;01/07/2025;Loja Fortaleza;Tablet 10'';Eletrônicos;2;334164;Anthony Nogueira;Boleto;239029
1142;01/07/2025;Loja São Paulo;Camiseta Polo;Vestuário Masculino;3;396709;Sra. Ana Carolina Rodrigues;Boleto;335907
1143;01/07/2025;Loja Salvador;Geladeira Duplex;Casa e Eletro;1;258787;Dra. Fernanda Pereira;Dinheiro;132631
1144;01/07/2025;Loja Porto Alegre;Camiseta Polo;Vestuário Masculino;3;18109;Dra. Fernanda Pereira;PIX;9245
1145;01/07/2025;Loja Fortaleza;Notebook Intel i7;Eletrônicos;3;49769;André Costela;PIX;40444
1146;01/07/2025;Loja São Paulo;Sapato Social;Vestuário Masculino;1;42961;Anthony Nogueira;PIX;24328
1147;01/07/2025;Loja Fortaleza;Cafeteira 15x;Casa e Eletro;2;150058;Vitória Gonçalves;Cartão de Débito;100914
1148;01/07/2025;Loja Recife;Smartphone A22;Eletrônicos;1;185227;Mirella Pires;Boleto;118516
1149;01/07/2025;Loja Salvador;Cafeteira 15x;Casa e Eletro;5;459129;Sra. Ana Carolina Rodrigues;Dinheiro;371088
1150;01/07/2025;Loja Salvador;Liquidificador;Casa e Eletro;1;464708;Dra. Fernanda Pereira;PIX;294678
1151;01/07/2025;Loja Porto Alegre;Calça Jeans;Vestuário Masculino;4;162958;Yago Cardoso;Dinheiro;100831
1152;01/07/2025;Loja Porto Alegre;Geladeira Duplex;Casa e Eletro;3;192933;Anthony Nogueira;Dinheiro;14063
1153;01/07/2025;Loja Salvador;Smartphone A22;Eletrônicos;4;214025;Yago Cardoso;Boleto;178421
1154;01/07/2025;Loja Recife;Tablet 10'';Eletrônicos;4;3542;Bryan da Luz;PIX;293
1155;01/07/2025;Loja Fortaleza;Ar Condicionado;Casa e Eletro;5;376275;Mirella Pires;Cartão de Débito;210281
1156;01/07/2025;Loja Porto Alegre;Liquidificador;Casa e Eletro;1;341973;André Costela;Dinheiro;259538
1157;01/07/2025;Loja Fortaleza;Sapato Social;Vestuário Masculino;4;465406;Sra. Ana Carolina Rodrigues;Boleto;305035
1158;01/07/2025;Loja Recife;Smartphone A22;Eletrônicos;3;269062;Mirella Pires;PIX;167872
1159;01/07/2025;Loja Recife;Geladeira Duplex;Casa e Eletro;5;462483;Bryan da Luz;Dinheiro;245816
1160;01/07/2025;Loja São Paulo;Notebook Intel i5;Eletrônicos;5;61076;Luiz Gustavo Cardoso;Dinheiro;32092
1161;01/07/2025;Loja Fortaleza;Geladeira Duplex;Casa e Eletro;2;282027;Bryan da Luz;Cartão de Crédito;16325
1162;01/07/2025;Loja Recife;Camisa Social;Vestuário Masculino;2;43195;Bryan da Luz;Boleto;29516
1163;01/07/2025;Loja Recife;Sapato Social;Vestuário Masculino;3;397522;Luiz Gustavo Cardoso;Cartão de Débito;205076
1164;01/07/2025;Loja São Paulo;Smartphone A22;Eletrônicos;2;102101;André Costela;PIX;56524
1165;01/07/2025;Loja Salvador;Smartphone A22;Eletrônicos;5;490901;Dra. Fernanda Pereira;Boleto;285516
1166;01/07/2025;Loja São Paulo;Camiseta Polo;Vestuário Masculino;5;185078;Vitória Gonçalves;PIX;163963
1167;01/07/2025;Loja Salvador;Camiseta Polo;Vestuário Masculino;5;265044;Dra. Isadora das Neves;Cartão de Débito;232835
1168;01/07/2025;Loja São Paulo;Shorts Jeans;Vestuário Feminino;5;284105;Yago Cardoso;Dinheiro;25495
1169;01/07/2025;Loja Salvador;Smartphone A22;Eletrônicos;5;93557;Dra. Fernanda Pereira;Cartão de Crédito;7964
1170;01/07/2025;Loja São Paulo;Notebook Intel i7;Eletrônicos;3;109992;André Costela;Boleto;67496
1171;01/07/2025;Loja Salvador;Ar Condicionado;Casa e Eletro;3;84786;Mirella Pires;Cartão de Débito;49785
1172;01/07/2025;Loja Fortaleza;Tablet 10'';Eletrônicos;4;36682;Yago Cardoso;Cartão de Crédito;272909
1173;01/07/2025;Loja Recife;Tablet 10'';Eletrônicos;5;245085;Anthony Nogueira;Boleto;148917
1174;01/07/2025;Loja Porto Alegre;Saia Midi;Vestuário Feminino;3;465238;André Costela;Cartão de Débito;235652
1175;01/07/2025;Loja São Paulo;Notebook Intel i7;Eletrônicos;5;126903;Mirella Pires;Dinheiro;106682
1176;01/07/2025;Loja Porto Alegre;Notebook Intel i7;Eletrônicos;3;5963;Luiz Gustavo Cardoso;Boleto;3144
1177;01/07/2025;Loja Porto Alegre;Liquidificador;Casa e Eletro;5;222612;Vitória Gonçalves;Cartão de Crédito;120162
1178;01/07/2025;Loja Porto Alegre;Saia Midi;Vestuário Feminino;3;134814;Yago Cardoso;Cartão de Crédito;92411
1179;01/07/2025;Loja São Paulo;Ar Condicionado;Casa e Eletro;5;346749;Bryan da Luz;Cartão de Débito;218635
1180;01/07/2025;Loja Salvador;Notebook Intel i5;Eletrônicos;3;349068;Sra. Ana Carolina Rodrigues;Cartão de Débito;303187
1181;01/07/2025;Loja Recife;Smartphone A22;Eletrônicos;3;145474;Luiz Gustavo Cardoso;Cartão de Débito;109288
1182;01/07/2025;Loja Recife;Shorts Jeans;Vestuário Feminino;4;390818;Dra. Fernanda Pereira;Cartão de Crédito;27444
1183;01/07/2025;Loja São Paulo;Tablet 10'';Eletrônicos;1;183423;Dra. Fernanda Pereira;PIX;144796
1184;01/07/2025;Loja Salvador;Shorts Jeans;Vestuário Feminino;2;167957;Dra. Fernanda Pereira;Dinheiro;101485
1185;01/07/2025;Loja Recife;Blusa Básica;Vestuário Feminino;2;450026;Luiz Gustavo Cardoso;Cartão de Débito;37482
1186;01/07/2025;Loja Porto Alegre;Saia Midi;Vestuário Feminino;4;228193;Anthony Nogueira;Boleto;183353
1187;01/07/2025;Loja Fortaleza;Vestido Floral;Vestuário Feminino;4;346845;Dra. Fernanda Pereira;Boleto;286305
1188;01/07/2025;Loja Fortaleza;Blusa Básica;Vestuário Feminino;4;239956;Mirella Pires;Cartão de Crédito;173081
1189;01/07/2025;Loja Recife;Vestido Floral;Vestuário Feminino;2;103884;Luiz Gustavo Cardoso;PIX;83713
1190;01/07/2025;Loja São Paulo;Ar Condicionado;Casa e Eletro;5;120487;Sra. Ana Carolina Rodrigues;Dinheiro;94253
1191;01/07/2025;Loja Porto Alegre;Ar Condicionado;Casa e Eletro;5;9772;Vitória Gonçalves;Cartão de Crédito;77177
1192;01/07/2025;Loja Porto Alegre;Tablet 10'';Eletrônicos;5;208458;Dra. Fernanda Pereira;Boleto;153499
1193;01/07/2025;Loja Recife;Notebook Intel i7;Eletrônicos;3;361189;Dra. Fernanda Pereira;Cartão de Débito;286358
1194;01/07/2025;Loja Salvador;Notebook Intel i5;Eletrônicos;5;446098;Dra. Isadora das Neves;Dinheiro;225004
1195;01/07/2025;Loja São Paulo;Cafeteira 15x;Casa e Eletro;2;451687;Bryan da Luz;Boleto;396113
1196;01/07/2025;Loja Porto Alegre;Liquidificador;Casa e Eletro;2;305374;Dra. Isadora das Neves;Boleto;233534
1197;01/07/2025;Loja Recife;Liquidificador;Casa e Eletro;4;31839;Dra. Isadora das Neves;Cartão de Crédito;2381
1198;01/07/2025;Loja Fortaleza;Blusa Básica;Vestuário Feminino;3;326108;Dra. Isadora das Neves;Boleto;190472
1199;01/07/2025;Loja Fortaleza;Geladeira Duplex;Casa e Eletro;2;321403;Anthony Nogueira;PIX;180871
1200;02/07/2025;Loja São Paulo;Geladeira Duplex;Casa e Eletro;2;125155;André Costela;PIX;97239
1201;02/07/2025;Loja Fortaleza;Cafeteira 15x;Casa e Eletro;4;304786;Luiz Gustavo Cardoso;Boleto;17532
1202;02/07/2025;Loja Recife;Tablet 10'';Eletrônicos;5;307499;Luiz Gustavo Cardoso;Boleto;22774
1203;02/07/2025;Loja Salvador;Vestido Floral;Vestuário Feminino;3;300987;Yago Cardoso;Boleto;219018
1204;02/07/2025;Loja Porto Alegre;Geladeira Duplex;Casa e Eletro;3;263628;Dra. Isadora das Neves;Cartão de Crédito;230652
1205;02/07/2025;Loja Salvador;Liquidificador;Casa e Eletro;4;104339;Sra. Ana Carolina Rodrigues;Dinheiro;89415
1206;02/07/2025;Loja São Paulo;Saia Midi;Vestuário Feminino;2;320059;Dra. Isadora das Neves;Boleto;160109
1207;02/07/2025;Loja Porto Alegre;Vestido Floral;Vestuário Feminino;3;370473;Vitória Gonçalves;Cartão de Débito;190857
1208;02/07/2025;Loja Fortaleza;Shorts Jeans;Vestuário Feminino;3;49949;Mirella Pires;PIX;376169
1209;02/07/2025;Loja São Paulo;Camisa Social;Vestuário Masculino;1;246553;Vitória Gonçalves;Cartão de Débito;144777
1210;02/07/2025;Loja Recife;Blusa Básica;Vestuário Feminino;4;250571;Vitória Gonçalves;Boleto;13800
1211;02/07/2025;Loja Salvador;Saia Midi;Vestuário Feminino;3;329321;Sra. Ana Carolina Rodrigues;Boleto;260203
1212;02/07/2025;Loja Porto Alegre;Vestido Floral;Vestuário Feminino;2;354993;Anthony Nogueira;Cartão de Débito;229405
1213;02/07/2025;Loja São Paulo;Notebook Intel i5;Eletrônicos;1;243492;Yago Cardoso;Cartão de Débito;218825
1214;02/07/2025;Loja Fortaleza;Camisa Social;Vestuário Masculino;1;178177;André Costela;Boleto;126511
1215;02/07/2025;Loja Porto Alegre;Notebook Intel i7;Eletrônicos;3;470387;Luiz Gustavo Cardoso;Dinheiro;247173
1216;02/07/2025;Loja Salvador;Calça Jeans;Vestuário Masculino;1;409609;Vitória Gonçalves;Cartão de Crédito;204931
1217;02/07/2025;Loja Recife;Camisa Social;Vestuário Masculino;1;39360;Dra. Fernanda Pereira;Boleto;265928
1218;02/07/2025;Loja Recife;Tablet 10'';Eletrônicos;3;154502;Luiz Gustavo Cardoso;Cartão de Crédito;84147
1219;02/07/2025;Loja Recife;Ar Condicionado;Casa e Eletro;3;279191;Sra. Ana Carolina Rodrigues;Dinheiro;164462
1220;02/07/2025;Loja Salvador;Tablet 10'';Eletrônicos;4;12569;Yago Cardoso;Cartão de Crédito;11192
